Group,Time,Alanine,Valine,Leucine,Isoleucine,Glycine,Proline,Serine,Threonine,beta-alanine,GABA,Aspartate,Methionine,O-acetyl-serine,Phenylalanine,Glutamine,Lysine,Tyrosine,Threonic acid,Pyruvic acid,Succinic acid,Fumaric acid,Malic acid,Glycolic acid,Benzoic acid,Nicotinic acid,Gluconic acid,Shikimate,Arabitol,Fructose ,Glucose ,Sucrose,Maltose ,myo-inositol,Uracil,Sinapic acid
21-L,40,0.7992,10.552,0.5998,0.6325,17.172,13.229,11.381,10.777,0.7033,10.135,0.9819,16.479,14.530,10.829,11.740,0.7603,0.5704,12.548,15.744,0.8435,0.8179,0.7939,12.356,0.7893,0.8467,10.296,13.630,0.8897,18.276,14.864,10.262,0.9245,12.313,0.6316,0.994
21-L,40,0.7491,0.8492,0.7597,0.6497,0.9768,15.046,10.789,10.903,0.8194,10.295,11.166,10.735,10.610,0.7895,12.976,0.7493,0.7032,11.309,14.393,10.000,10.389,10.698,11.925,0.9828,0.7003,10.295,10.295,0.9238,11.507,13.269,10.708,10.327,0.9609,0.5934,10.323
21-L,40,0.9273,0.8379,0.6572,0.6704,12.905,12.148,0.8715,10.800,0.5084,0.9679,10.121,14.167,12.205,0.9117,13.552,0.8592,0.7346,0.8831,12.983,0.8654,0.9433,0.8794,0.6838,0.7138,0.8342,10.219,13.732,0.8387,17.506,22.398,10.848,12.033,10.287,0.5443,11.859
21-L,40,0.832,0.8153,0.6357,0.7063,14.108,15.210,0.9936,0.9402,0.6111,0.9356,10.899,11.307,14.948,0.9142,0.9789,0.8789,0.6057,13.695,12.572,13.786,0.9202,0.9892,10.689,0.8859,0.8739,11.109,15.564,0.985,19.778,25.701,0.9403,10.821,10.565,0.4464,10.500
21-L,120,0.7293,0.8339,0.5987,0.6672,13.140,15.306,10.234,0.9245,0.9142,0.8197,10.277,15.241,13.830,0.9747,10.627,0.7013,0.4929,15.473,13.692,10.476,0.6965,0.7649,0.9052,10.076,0.8518,10.223,14.527,0.8504,29.598,27.782,0.9492,10.078,10.726,0.5819,12.684
21-L,120,0.8718,0.9064,10.339,0.7523,22.289,0.6444,12.882,11.096,0.8889,0.8854,11.274,11.612,0.9838,0.9035,11.633,0.8843,0.5692,12.976,15.413,10.036,0.9935,10.143,13.809,0.7577,0.988,0.9873,10.793,0.9106,15.894,14.474,10.913,0.8468,0.8879,11.616,10.267
21-L,120,0.8808,0.7764,0.6115,0.5994,17.439,0.8647,0.9108,0.731,0.7633,0.8483,11.963,12.135,15.193,0.8773,10.535,0.7442,0.5721,11.351,12.694,11.829,0.7923,0.8982,11.618,0.8643,0.8754,12.393,13.120,0.885,32.939,26.835,0.8989,11.382,10.216,0.6447,12.737
21-L,120,0.623,0.7787,0.7838,0.71,13.149,0.6948,0.946,0.7943,0.8047,12.060,0.7794,12.203,0.9489,0.7469,0.6787,0.7658,0.6876,12.480,12.693,10.307,0.9419,0.9288,13.386,0.9792,12.603,0.9475,11.053,0.9258,0.9994,14.572,0.9899,0.949,10.571,10.733,0.9522
21-L,360,0.9363,10.379,0.9219,0.9735,37.473,0.7278,15.465,14.792,0.986,0.845,13.498,17.303,12.576,11.005,21.448,0.909,0.967,0.7705,14.055,0.7656,10.361,10.138,0.9225,0.982,10.316,0.9645,12.293,15.241,0.7603,0.8847,11.267,0.9972,0.6938,0.3732,17.855
21-L,360,0.858,0.8338,0.7251,0.8644,30.897,42.464,17.749,15.010,11.304,0.7874,0.9642,15.198,0.7461,10.540,13.340,0.7732,0.9777,0.5368,13.251,0.7892,12.301,12.669,13.167,0.9879,14.260,10.499,11.146,0.9563,0.6791,0.9355,11.525,0.8199,12.730,0.6858,12.751
