Alanine,Valine,Leucine,Isoleucine,Glycine,Proline,Serine,Threonine,beta-alanine,GABA,Aspartate,Methionine,O-acetyl-serine,Phenylalanine,Glutamine,Lysine,Tyrosine,Threonic acid,Pyruvic acid,Succinic acid,Fumaric acid,Malic acid,Glycolic acid,Benzoic acid,Nicotinic acid,Gluconic acid,Shikimate,Arabitol,Fructose ,Glucose ,Sucrose,Maltose ,myo-inositol,Uracil,Sinapic acid
0.7992,1.0552,0.5998,0.6325,1.7172,1.3229,1.1381,1.0777,0.7033,1.0135,0.9819,1.6479,1.4530,1.0829,1.1740,0.7603,0.5704,1.2548,1.5744,0.8435,0.8179,0.7939,1.2356,0.7893,0.8467,1.0296,1.3630,0.8897,1.8276,1.4864,1.0262,0.9245,1.2313,0.6316,0.9940
0.7491,0.8492,0.7597,0.6497,0.9768,1.5046,1.0789,1.0903,0.8194,1.0295,1.1166,1.0735,1.0610,0.7895,1.2976,0.7493,0.7032,1.1309,1.4393,1.0000,1.0389,1.0698,1.1925,0.9828,0.7003,1.0295,1.0295,0.9238,1.1507,1.3269,1.0708,1.0327,0.9609,0.5934,1.0323
0.9273,0.8379,0.6572,0.6704,1.2905,1.2148,0.8715,1.0800,0.5084,0.9679,1.0121,1.4167,1.2205,0.9117,1.3552,0.8592,0.7346,0.8831,1.2983,0.8654,0.9433,0.8794,0.6838,0.7138,0.8342,1.0219,1.3732,0.8387,1.7506,2.2398,1.0848,1.2033,1.0287,0.5443,1.1859
0.8320,0.8153,0.6357,0.7063,1.4108,1.5210,0.9936,0.9402,0.6111,0.9356,1.0899,1.1307,1.4948,0.9142,0.9789,0.8789,0.6057,1.3695,1.2572,1.3786,0.9202,0.9892,1.0689,0.8859,0.8739,1.1109,1.5564,0.9850,1.9778,2.5701,0.9403,1.0821,1.0565,0.4464,1.0500
0.7293,0.8339,0.5987,0.6672,1.3140,1.5306,1.0234,0.9245,0.9142,0.8197,1.0277,1.5241,1.3830,0.9747,1.0627,0.7013,0.4929,1.5473,1.3692,1.0476,0.6965,0.7649,0.9052,1.0076,0.8518,1.0223,1.4527,0.8504,2.9598,2.7782,0.9492,1.0078,1.0726,0.5819,1.2684
0.8718,0.9064,1.0339,0.7523,2.2289,0.6444,1.2882,1.1096,0.8889,0.8854,1.1274,1.1612,0.9838,0.9035,1.1633,0.8843,0.5692,1.2976,1.5413,1.0036,0.9935,1.0143,1.3809,0.7577,0.9880,0.9873,1.0793,0.9106,1.5894,1.4474,1.0913,0.8468,0.8879,1.1616,1.0267
0.8808,0.7764,0.6115,0.5994,1.7439,0.8647,0.9108,0.7310,0.7633,0.8483,1.1963,1.2135,1.5193,0.8773,1.0535,0.7442,0.5721,1.1351,1.2694,1.1829,0.7923,0.8982,1.1618,0.8643,0.8754,1.2393,1.3120,0.8850,3.2939,2.6835,0.8989,1.1382,1.0216,0.6447,1.2737
0.6230,0.7787,0.7838,0.7100,1.3149,0.6948,0.9460,0.7943,0.8047,1.2060,0.7794,1.2203,0.9489,0.7469,0.6787,0.7658,0.6876,1.2480,1.2693,1.0307,0.9419,0.9288,1.3386,0.9792,1.2603,0.9475,1.1053,0.9258,0.9994,1.4572,0.9899,0.9490,1.0571,1.0733,0.9522
0.9363,1.0379,0.9219,0.9735,3.7473,0.7278,1.5465,1.4792,0.9860,0.8450,1.3498,1.7303,1.2576,1.1005,2.1448,0.9090,0.9670,0.7705,1.4055,0.7656,1.0361,1.0138,0.9225,0.9820,1.0316,0.9645,1.2293,1.5241,0.7603,0.8847,1.1267,0.9972,0.6938,0.3732,1.7855
0.8580,0.8338,0.7251,0.8644,3.0897,4.2464,1.7749,1.5010,1.1304,0.7874,0.9642,1.5198,0.7461,1.0540,1.3340,0.7732,0.9777,0.5368,1.3251,0.7892,1.2301,1.2669,1.3167,0.9879,1.4260,1.0499,1.1146,0.9563,0.6791,0.9355,1.1525,0.8199,1.2730,0.6858,1.2751
